Account,Token Account,Quantity,Percentage
ysC4JtxVyosPjBQggokUkLMZxapCKk5gXU432qeVbyb,AdU8UHoJWkUT3b5XAqQCqw5CqyKTMg9nydGpoeK2eKKe,442.524931759,0.04
6cnkftowzL141dj1C83qC6YbRufjHMVjTi62pvTMGBoZ,CwyqWoBFNotFtTs9wqgGgiUMsiNbRif1AdUvLFc9ocS5,426.627294285,0.04
GutqpJtesEAF8PtUoFLkNGWCpoLSgoaEQhBJHEQhy2Jc,62dikWcXXhD38RX62LGUWib6qj1ue2QMEmjTE1AUiKxN,388.136639846,0.04
2vYydpjo2K6NA46zDFwB6ZqTQS2DATU8QduvwRyLmk6Z,4gP5ki7hEzmuWB6WbGQd7kopGkLb3T6MeTqZKE5T1cN9,360.026778214,0.03
CWPUgvGUWhCgkJ7JidmPvV8v44vJfHFFFVSEfUmV4pL9,8P91u3KrsAruyB1F3EZJcY5cpGVKfRQHiA3iZWQsXE9B,340.591350896,0.03
CwADzKNev1FtYwZXBhDCiHRpt6AeLJvn4EqmYy9oc5dv,BKHnRphTtFM7PBLGeiuZDtKd7Kdt9vvqAqEiMw6WoHsD,339.839279585,0.03
3L61LGpVynKSJy6EqZwmKAjPUmW8UboFbmyCpiBLJKum,Bzv1b7hoHFnXMxiC2UCKZ8aF7e1srEGrHNH9vE7sEi8K,338.373080976,0.03
3bKinRPKGfw4S6z5f3iRXYgykzcQLg2qzWQzsUaFNMX2,FWruAUuszBK9yXcwCU3Nhknfx1gpbKMUDcwJQxFDWKkz,332.717525213,0.03
F64MJdE4YN9HyiiRS3LWUTFZvBehb1cLvdZMq59Jgg9C,7ybGjdYFd4P7qsUNxuAML8xNXB7d2yLzxC8NLqRxqhTJ,326.151324579,0.03
6VVL8hrVdv9wM43aqNKB9J8aCjz9aU1ka3KRzcUCG4ro,4nD6iDBE2TZmtXkDUuLZs5CJovututBzDeFTfFqML3AW,319.152618167,0.03
BZXdAgJ6JLJh9SjiZLrCFqTi23JohP6mjfmeYdDaUL9u,3JZTN5361mFqKGL6M88V4c7K6g6sB7i9DRCGQf11Bnt8,308.507226784,0.03
HVUDTukCHWpcyqXV5UhRTgq25kTgFGzLhDyud9jt89ho,HA9GXzdgsxDBVnVHjYvwt5SBDWK5EnjwRf3mMkTGiTRb,304.357780111,0.03
BMdQb1vdCxtRUDQwdAzfES2EiwX8SUeXvgkHT95BeKL1,78Y6xC1MrXmJJabtoedsZAjndPGyALmYGBJAjsa5EPPN,295.224443672,0.03
A4E5o1a7mtfLWWfbw2AzCzjcpAdaJnFgmXEaqnUmEJVT,9wdevJEjpShNBwokswkuVEwQQTbUZZEWmYdLF8vB1inp,291.867373142,0.03
CyvQwCVRLuYkuroFwKHee66abNxHy5SRa3Sbv4QQxfaP,CdJmwZ8xnbmtkdbrJXpUQAoAoM5jYd6YSupM2HxLd7Hv,283.552372628,0.03
2YvcWECBFNmbgZmvfDmRG13Kqckd6uVf9hriDJfz3Gr3,4DgiC5SsHrYQQ2BQ5VXoC9aSN35NxSSWMUfJiuWAS227,275.516932211,0.03
74aZuvD821zEe7y3h6WmrJsfEPgCJ1eqv3xYTpyVM948,54iFG3rGucP8FJ876fgaVP5aQ13f3FX55mQu2ReWotUF,267.24826747,0.03
776Uo9g8E5mdpU1WHZ68YvgzB3YNj1zGyi4vMCA2QA1i,FGBEuqTbwEpa1poV3NcijPKpLmEDqXk12ES98qG7PdXe,230.330782202,0.02
EgkhVn4pLLC5Apk3zwtqcGvukFGsxuYx3WEuDMWN9TUa,GHmr56ogH3jYdLBERSRDdcFZNDHPZnWYrFnwV2n9kLnV,228.068905334,0.02
D4t2Gd9hZaMR2qpn5r2pzQ4Ldi5zWoU9i3mkjQhrXASQ,AcEovy8Zsg3FmsG1bCUa5xtBBA5kARcLnhy5YeDLX75P,225.738723439,0.02
7oBBXrvFHWdYtcB1vAzz8wLzbwFBjRaJCecvJ4ekJ25g,Ba3p1177rGFDF589P7voDuXABrq4MbwFLcb5sEjoZffh,223.250936474,0.02
32QikhA3MKa4X5K5YyhYUhUgYVRjoZCkbK86K8RM56Na,4sAQN5eycu7pfkx2K9GrWiCRTHJ3uJ38X8KqC7kvqyrQ,220.253911061,0.02
ZYgDTDTPFprcL6X6K7k2H9as4YWjQ3ZiaXe3wkJeaTA,Dd4yRH89QxkCurY5zZ6pTAL5bGsSAKnLKPfj597QidcU,214.556484889,0.02
BfbyJ5Jvpo2fJsZsxg7cYnpkaDs7EVafLokyrUUUpx9R,DYQLMQ9pSr112hsJkpYfNuSHufWUTzGvWe729CNSrpdS,196.718286264,0.02
82GKy29sJTLdXZf6g4ePh49tZezddt6mj6poKdGPaSwd,7h3eUfk7YGZwLDPpnrwjF4cdusFymhfHU2BVLDMZNJQH,196.476987585,0.02
Gs8sguuaYXeLpbTEogf4beZGSxWQBb3keJwsj3sa4jNa,FATbJrktbyzUwGU235WG4wmw1HV4C5cETpXUpgjQCWkr,189.122228812,0.02
9nvhrLGP124e6fwotMAjHAyYH98rVW7JyskEiXHEYsLM,EFRHozENpAG5kiCPuLvmuTM1BTzXBB54icmrF2cE3afX,188.53084888,0.02
6rHg3vDAg8dBtjMTSKqVtfX5BKDyJV6GQcLbjnMs7N8A,Cy6s4AvPcxyowdU7sKWo6CoKgiRytzmuQkGCRNLEdK5s,188.232164975,0.02
HAU24GohnwzkKzuaRFhFbDuC6PqthrA9ZEGA1ALLjLj7,AnTxBebQNrR1ojF8yVLCq5yED6uyrMyJRRTyndf1PCu1,184.060411138,0.02
VYP3FjqvGNUFbDUxnBFuZ2wr8q2FUAGH1jVtXhWNF8p,FEj41WWMbkDtuCKyfpfFWnnYhnB7je6nP2CyhpMFo1Sc,183.138521381,0.02
Cf3QKB3baiq3rM5jgDDYWzK6Jv17pLrEifHsM6yyQiH3,DEAEJu7eV5tqkFeSXuFRDJonrMb8EJKAnPsjWiMxGpBU,178.241697115,0.02
5BZ8ZZLfiCM5Jgs9DyUSoyhyPAVex5tcYo1x3cfBEC1D,GLM1yZJ2CNuyUbBjPZSnFLKSejzr8rbFouBjn4VXFe9w,168.633582046,0.02
DhhegqX43SddTbUwx6iEBgXHDzNzGkSMEabnSKj7YzM6,9o7u39ZnvHSR9NWMcUmqczpSYMUkGfttvnD7tgYhYuQ6,167.568172554,0.02
4TqZDV76DvsFd5PjGViiACY1PayMArTkrhBavFVTHjdo,9gyrd9ySmyPGgn7uSnK5PWh64Ppx3snu7qPkf9dB3foy,164.587340056,0.02
8UFP1dt1qmaNRyTPzzk2gGbKRWjVjtUC3jWRa5ivAra2,9qAEXxs8yHFJKFbUPapVCiRZfrKYMNW9cenciYkrNs3r,162.641445793,0.02
E5LFLJJCHumwC73EzfQJar9BjwbSEbWJTkEobpnZReF5,8PZGdb6dYBTWmkz6vpcafD3UEdV5zPGrpWWFeboCrbBt,160.90951415,0.02
GCYdT13tXThdEBHJSVLbitEMuWcB2xiqKnZR9BFwCW4Z,E3JefJwA2rsSUKKmq1UWYYM7uMes8qjxJxtLJ3rmUNE3,158.276799275,0.02
J9XpzxUwj3aJBbiFWKkRGoN2FYPnJXqJschd6WBMwALs,FLiGYziRJMhiu96sLwDBUZzZkGTLRUeRUdhPre6RUokM,151.910686927,0.01
ALCnAJyvD5PgwhLJdcY2XeGiziH5Aq3WNppS86pR1usZ,ZUib3WsT8HF4TobMHo563omdGujyaeBtrkkwP6pU6BH,141.274989757,0.01
FeeDDPj4zHACcc1GvwEVo2MQDQwt3bcxNvYhht6JcCtn,216P7gNKiDf74B2caRjdBdRGyou8n7xqwp5aQEzGk6KF,140.500437474,0.01
2dsEvDxbRYTi4hQQUmRL3qA6wNefzcgVkPaKx1gNvk5k,64AoU6dSQBTGBzGb7Zh6aXRdBnCKTudDnB1kT1vKuSjn,138.613541071,0.01
HyZpHUJmTToPGDWu4PEXwY33SXf4gZqoPqoamFJHrPVa,92HpNRPcyhpZRQ9H3RoXCqAkjkn3bJ8c2KQRRGrDBdqr,133.380847823,0.01
7ExLTaovu6KVoTvafPs5VEuCKGwK8uFy6RaTSAh6qpUn,GCW5nBgaSE3a4qjYV2uhZ1YEkALW3pP5URjq7BHgz2ZK,131.748041606,0.01
7HtUXAzp7UfeRfKTnzB8LJf3brrS5sPQN9oNXXvW4Co2,2VZ9ExevSsH1ppGLymdkyrfgWJRwMrXXBc2w1NTgDgiU,130.265787775,0.01
8gx1rinmzgchBS7V6axeu9wcYUdKvpDp4Yjaz2ujVZS8,C4LxdrG7kMAMMAKrfnGu8REwjGndvAjRvXdEyQp1DLJX,130.234713221,0.01
2Xs43LZWyWCotxqMm2apVFRk47Xx3UzhUFVAtrY1sP1A,EBSRs7kFSBvrp2PTRj2GUGYpEXQQ364ZuZ2rKw5Dfj4e,127.857857429,0.01
88hGRbXcqQrJ7DgJc2L88ngphQZZ5fBorbHWpQhoci7v,3CFnY81NGBSeBGQDctyXxZ3k4v7NAGsGj6Z4h43ATwwy,125.834034263,0.01
5qAmBbgo9iQYdxKnXU6RKX91r3qNDwH9riuz1ynfncBg,DqGrd3mV8SoptbmFu1JQ2c7rYWJVBbnTGPLGbMsxucpu,124.077376096,0.01
DM2TxABuirL2D4QWazsFMbShFgd4HywvtP5UrRw7643D,9nevWMLZNi9Leb4AwmXrM71fTjrhsDPjdDYxgRCggGqZ,123.455216643,0.01
J47hRABc8QAnv4z8Jvwvp9V7ZgSLeQ1o9WkNNB7631iz,iL5fpFaJ3Tac19pzhmfjWn8EkjxfmVPuFyPdfn7AYHA,118.784174117,0.01
8j5iaKzSNR3CFmSZa4bmFq7jrpxtdL2soHdZ33QDrTmr,8DqDQtSRfNFBKYrcQxrbSZfVfSc1ZTtaNdCadZ79LsZP,118.371091252,0.01
EhdMgEzEHC3UstgxKKSHMHFY5Dkf6xBwTSXpPM6x8fC4,EPsojjLfMj2zcsr9RckGhZH8hpMgrTaKBB5t1MB2gxEt,116.03241967,0.01
Gtf3b5pFUxmvDSRnUMG5PCjjAp41wkZy75jy98fJiXAU,2hRXBCh2DCjQNt6D6A88EzZc6h9UE99EdtMKxVq4vFz9,113.661976444,0.01
497HRSKQrUL7TzKtGaLGFkqN2QPKuwQy5zShuNK9dRoK,8CfGs85mGHraW6Y7ybCsdkbvUTZLkxYEpESYVxPDpo4w,113.385299896,0.01
CUjjHkNfsFKCootkae1u2T8rhCXbZG4H2suBfpKimyLp,6xS6iaiuaHHADBZJaZj1iuZhMhSZpDFaZfcv2q29cfJ5,111.742741505,0.01
J75PwRqLVvWLkA1GTUuq2wYe4ph8iSbMpaKK7VAdYUR3,87XT5J3eQ8wTssGkgxXHpYA1isMNurEJPwbZznTo9QgM,100.207671539,0.01
ESh4f7RKBwAeQbknfRrGeVLHMy44nZhBLrDtMEeLxz44,XVbCQdJDJtEygnAffsZV3Hz1ZCuwFfNC7G1DY3iAU8Z,99.369987814,0.01
HbnLEHWr1JjVKH82RPYriMLMQXfR6EM22ynndJZ2LMY1,DuyJVRh7edCzQB1B45paciQzLWPnZhrLFzwgBqWHSV1j,98.8794818,0.01
4rXXnaUwX7isoBhRnrnyPfTnKZjqUGktegjBqCHdPGcX,DNwAZcPZCieKewttSkn15AG3mA48HUB2p2UfhL8k4PCB,97.833783697,0.01
AgeiGonvAiepE5ug2ptDXHnGR9qxvJwziZisogHYnotr,Ft53mtcgesL74Mx7nYUptUMtvRNfuUyTyR1JdZrrkFme,94.674754833,0.01
5b9SqF5Vzr1UWG2j4Hs3NHPr56op13QzvxgME8Ujz2Wy,Q9DbTfBrSu4rkkjSEa1HKAz9GcuK2XPHxULHccS8iMi,94.411721246,0.01
